paper_id,page_num,table_idx,row_idx,source_csv,alloy_name,composition_of_alloy,density_raw,density_value,density_unit,burn_factor_raw,burn_factor_value,extinction_pressure_raw,extinction_pressure_value,flammability_index_raw,flammability_index_value,tensile_strength_raw,tensile_strength_value,tensile_strength_type,tensile_temperature_label,tensile_temperature_C,tensile_unit,tensile_strength_with_temp,elongation_raw,elongation_value,elongation_temperature_label,elongation_temperature_C,elongation_unit,elongation_with_temp,thermal_conductivity_raw,thermal_conductivity_value,thermal_conductivity_temperature_label,thermal_conductivity_temperature_C,thermal_conductivity_unit,thermal_conductivity_with_temp,thermal_expansion_raw,thermal_expansion_value,thermal_expansion_temperature_label,thermal_expansion_temperature_C,thermal_expansion_unit,thermal_expansion_with_temp,manufacturing_process
20250513--GRX-810_Addtional_NASA_Data,2,1,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,5,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,7,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,8,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,1,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,2,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,2,3,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,3,1,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p3_t1.csv,,,Density (g/cm3): 8.44,8.44,g/cm3,,,,,,,,,,,,,,,,,,,,Thermal Conductivity (W/m*K): 11.0,11.0,,,W/mK,11 W/mK,Coefficient of Thermal Expansion (10-6/K): 10.6,10.6,,,10^-6/K,10.6 10^-6/K,
20250513--GRX-810_Addtional_NASA_Data,3,2,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p3_t2.csv,,,Density (g/cm3): 8.44,8.44,g/cm3,,,,,,,,,,,,,,,,,,,,Thermal Conductivity (W/m*K): 10.55,10.55,,,W/mK,10.55 W/mK,Coefficient of Thermal Expansion (10-6/K): 11.8,11.8,,,10^-6/K,11.8 10^-6/K,
20250513--GRX-810_Addtional_NASA_Data,3,3,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p3_t3_camelot.csv,,,Density (g/cm3): 8.44,8.44,g/cm3,,,,,,,,,,,,,,,,,,,,Thermal Conductivity (W/m*K): 10.55,10.55,,,W/mK,10.55 W/mK,Coefficient of Thermal Expansion (10-6/K): 11.8,11.8,,,10^-6/K,11.8 10^-6/K,
20250513--GRX-810_Addtional_NASA_Data,5,1,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.420,0.42,,,,,,,,,,,,,,10.7,10.7,,25.0,W/mK,10.7 W/mK @ 25 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.428,0.428,,,,,,,,,,,,,,12.0,12.0,,100.0,W/mK,12 W/mK @ 100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.444,0.444,,,,,,,,,,,,,,13.9,13.9,,200.0,W/mK,13.9 W/mK @ 200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.454,0.454,,,,,,,,,,,,,,15.6,15.6,,300.0,W/mK,15.6 W/mK @ 300 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,5,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.467,0.467,,,,,,,,,,,,,,17.3,17.3,,400.0,W/mK,17.3 W/mK @ 400 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.471,0.471,,,,,,,,,,,,,,18.6,18.6,,500.0,W/mK,18.6 W/mK @ 500 °C,,,,,,,
