paper_id,page_num,source_type,source_location,source_snippet,alloy_name,composition_of_alloy,density_raw,density_value,density_unit,burn_factor_raw,burn_factor_value,extinction_pressure_raw,extinction_pressure_value,flammability_index_raw,flammability_index_value,tensile_strength_raw,tensile_strength_value,tensile_strength_type,tensile_temperature_condition,tensile_temperature_C,tensile_unit,tensile_strength_with_temp,elongation_raw,elongation_percent,elongation_temperature_condition,elongation_temperature_C,elongation_unit,elongation_with_temp,thermal_conductivity_raw,thermal_conductivity_value,thermal_conductivity_temperature_condition,thermal_conductivity_temperature_C,thermal_conductivity_unit,thermal_conductivity_with_temp,thermal_expansion_raw,thermal_expansion_value,thermal_expansion_temperature_condition,thermal_expansion_temperature_C,thermal_expansion_unit,thermal_expansion_with_temp,manufacturing_process,table_idx,row_idx,source_csv
1-s2.0-S009457652300334X-main,2,text,page_text,is paper Various traditional manufacturing processes and techniques for include GRCop-42 (Cu-4 at.% Cr-2 at.% Nb) and GRCop-84 (Cu-8 at.% aerospace components are well-matured and the alloys pr,GRCop-42,"Cu-4 at.%, Cr-2 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,2,text,page_text,"ring processes and techniques for include GRCop-42 (Cu-4 at.% Cr-2 at.% Nb) and GRCop-84 (Cu-8 at.% aerospace components are well-matured and the alloys produced from Cr-4 at.% Nb), NASA HR-1 (Fe–Ni–Cr), JBK-75 (Fe–Ni–Cr), GRX-810 these processes well-characte",GRCop-84,"Cu-8 at.%, Cr-4 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,3,text,page_text,"l wall rocket nozzles to be built. GRCop-42 and C-103 have also 750 Copper High conductivity; GRCop-42, Combustion been built using the LP-DED process and plans are in place for GRX-",,,,,,,,,,,,,,,,,,,,,,,,,conductivity; GRCop-42,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,4,text,page_text,"that were enabled by ICME approaches. There is no need to copper-alloys such as C-18150 (Cu–1.5 wt% Cr–0.2 wt% Zr), NARloy-Z create hundreds of new powder lots, fabricate thousands of samples, a",C-18150,Cu–1.5 wt% Cr–0.2 wt% Zr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,4,text,page_text,"), NARloy-Z create hundreds of new powder lots, fabricate thousands of samples, and (Cu-3 wt.% Ag-0.5 wt% Zr), Glidcop-15 (Cu-0.15 wt% Al2O3), and then perform extensive material evaluation",and,"Cu-3 wt.%, Ag-0.5 wt%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,4,text,page_text,"new powder lots, fabricate thousands of samples, and (Cu-3 wt.% Ag-0.5 wt% Zr), Glidcop-15 (Cu-0.15 wt% Al2O3), and then perform extensive material evaluations. Instead, commercial off- C-18",Glidcop-15,Cu-0.15 wt%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,4,text,page_text,"2O3), and then perform extensive material evaluations. Instead, commercial off- C-18200 (Cu–1.2 wt% Cr). the-shelf and custom codes may be used to rapidly screen large A general compa",C-18200,Cu–1.2 wt% Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,4,text,page_text,"sition space can be mapped on a workstation in less than 24 h, and Fig. 2. Predicted phase stability of GRX-810 between 800–1500◦ C. No then validate computed findings empirically with a few",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted phase stability of GRX-810,,,,,,,,,
1-s2.0-S009457652300334X-main,4,text,page_text,findings empirically with a few select data detrimental phase formation is predicted above 810◦C. points to guide production of future W and W-alloy powders using the inocula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted above 810,810.0,,,,810,,,,
1-s2.0-S009457652300334X-main,4,text,page_text,"embrittlement [14]. NASA has matured the temperature range 800–1500 ◦C, as predicted by the thermodynamic GRCop-42 and GRCop-84 to meet these requirements. The Glenn model for GRX-810. Research",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted by the thermodynamic GRCop-42,,,,,,,,,
