0,1,2,3,4,5,6,7,8
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Multi-Laser 
AM Printer 1",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,75,24,74.2,511.6,127.0,875.6,42.6,3
,400,204,58.4,402.8,105.9,730.2,41.5,5
,800,427,54.3,374.4,96.9,668.0,40.5,5
,1200,649,49.4,340.7,89.8,619.0,38.0,5
,1600,871,28.8,198.3,39.3,270.7,41.5,5
,1800,982,19.6,134.9,23.5,162.2,25.8,5
,1900,1038,16.2,111.6,18.6,128.2,16.1,5
,2000,1093,13.1,90.4,14.3,98.4,14.1,8
,2100,1149,10.6,73.0,10.7,74.0,,3
,2200,1204,8.9,61.3,9.1,62.7,,3
,2300,1260,6.4,44.2,6.7,46.0,,3
