0,1,2,3,4,5,6,7,8,9,10,11,12,13
Alloy,Form,"Temp. 
(°C)","TS 
(MPa)","YS 
(MPa)","El 
(%)","R of A 
(%)","E 
(GPa)","Notch 
TS 
(MPa)",Stress Rupture,,"DEWSIM 
(g/cm3)","Melting 
Range 
(°C)",Comments
,,,,,,,,,100h,1000h,,,
Waspalloy,bar,21,1280,795,25,-,-,-,-,-,8.20,1339-1355,Not stated
,,540,1170,725,23,-,-,-,-,-,,,
,,650,1120,690,34,-,-,-,-,-,,,
,,760,795,675,28,-,-,-,-,-,,,
,,870,525,515,35,-,-,-,-,-,,,
MAR-M-246,DS,21,-,-,-,-,131,-,-,-,-,-,Longitudinal
,,21,-,-,-,-,183,-,-,-,,,Transverse
,,760,-,-,-,-,103,-,-,-,,,Longitudinal
,,760,-,-,-,-,149,-,-,-,,,Transverse
