0,1
Alloy,Composition
AF115,"BalNi-10.5Cr-15Co-2.8Mo-5.9W-1.8Nb-3.8Al-3.9Ti-0.05Zr-0.8Hf-
0.02B-0.05C"
AF2-1DA,BalNi-12Cr-10Co-3Mo-6W-1.5Ta-4.6Al-3Ti-0.35C
Astroloy,BalNi-15Cr-17Co-5Mo-4Al-3.5Ti-0.25B-0.03C     (1)
IN100,BalNi-12.4Cr-18.4Co-3.2Mo-5Al-4.3Ti-.8V-0.06Zr-0.02B-0.07C
MERL76,"BalNi-12.4Cr-18.5Co-3.2Mo-1.4Nb-5Al-4.3Ti-0.06Zr-0.4Hf-0.02B-
0.025C    (2)"
N 18,BalNi-11.5Cr-15.7Co-6.5Mo-4.35Ti-4.35Al-0.02B-0.03Zr-0.02C-0.5Hf
PA101,BalNi-12.5Cr-9Co-2Mo-4W-4Ta-3.4Al-4.1Ti-.11Zr-1Hf-0.015B-0.016C
Rene 88T,BalNi-16Cr-13Co-4.0Mo-4.0W-3.7Ti-2.0Al-0.015B-0.03Zr-0.03C-0.7Nb
Rene 95,BalNi-13Cr-8Co-3.5Mo-3.6W-3.5Nb-3.5Al-2.5Ti-0.05Zr-0.01B-0.06C
"Key:   
(1) Similar to UDIMET 700, APK 1, MTS1024. 
 
(2’Powder metallurgy (PM) modification of IN100 atomised for direct Hot 
Isostatic Pressed (HIP) components.",
