0,1,2,3,4
Alloy Spec.,"Hydrogen
Pressure
(MPa)","Ratio H2:He
Notched
UTS","Ratio H2:He Unnotched
R of A",Comments
Waspalloy,"3.45
48.3
48.3","0.64(a)
0.77(b)
-","-
0.45
0.74",Wrought
IN 625,"34.5
48.3","0.98(c)
0.78(b)","0.48
0.37",Wrought
IN 903,"34.5
48.3","1.01(c)
0.98(c)","0.98
1.15",Wrought
A 286,"34.5
34.5","-
1.00(c)","0.93
0.99",Wrought
Haynes 188,"41.4
3.45
3.45","0.88(c)
0.98(c)
-","-
-
0.60",Wrought
Rene 41,48.3,-,0.17,Wrought
Hastalloy X,"34.5
51.3","0.87(c)
0.88(c)","1.00
0.55",
MAR M 246,"34.5
42.7
48.3","-
-
-","0.61
0.80
0.40",Conventionally Cast
MAR M 246,"34.5
34.5
48.3","-
0.33(b)
0.24(b)","0.40
0.30
0.69","Directionally
Solidified"
MAR M 246,"34.5
34.0","0.60(b)
0.18","-
-",Single Crystal
PWA 1480,"34.5
34.5
34.0","0.84(b)
0.49(c)
0.49","0.74
0.52
-","Cast
Cast
Single Crystal"
CM-SX2 Std,"34.5
34.5","0.29(b)
0.29(b)","0.17
0.17",Cast
CM-SX2-CM,34.0,0.17,-,Single Crystal
CM-SX4-C,"34.5
34.0","0.35(c)
0.36","0.81
-","Cast
Single Crystal"
RR2000,"34.5
34.0","0.54(b)
0.47","-
-","Cast
Single Crystal"
"IN 713 LC
IN 718","48.3
48.3","-
0.83(b)","0.38
0.76","Conventionally Cast
Cast"
IN 718,"34.5
34.5
34.5
34.5
34.5
34.5
34.5
34.5
34.5","0.54
0.59
0.86
0.7
0.57
0.86
0.71
0.76
0.77","0.31
0.37
0.67
0.62
0.54
0.78
0.34
0.39
0.62","Wrought RB †
F †
P †
RB ‡
F ‡
P ‡
RB ƒ
F ƒ
P ƒ"
"AF 56
N-5
N4
SC180
SR99","34.0
34.0
34.0
34.0
34.0","0.84
0.84
0.46
0.30
0.25","-
-
-
-
-","Single Crystal
Single Crystal
Single Crystal
Single Crystal
Single Crystal"
Rene N4,"34.5
34.5","0.44(b)
0.46(c)","0.49
0.48",Cast
