0,1,2,3
"Alloy Composition 
Ratio H2:He 
Ratio H2:He 
or 
Comments 
Notched UTS 
Unnotched R of A 
Specification",,,
Directionally Solidified Eutectic (DSE) Alloy,,,
Ni-45.5W,0.63,0.42,RT in 34.5 MPa H2 or He.
Ni-19.7Nb-6Cr-2.5Al,0.60,0.08,Experience severe degradation.
Ni-21.75Nb-2.5Al,0.64,0.05,"Extreme levels of secondary 
surface cracking plus fibre/matrix 
interfaces."
Oxide Dispersion Strengthened (ODS) Alloys,,,
"MA957:  T 
 
 
L",0.34,0.13,"RT in 34.5 MPa H2 or He. 
Combined effects of ODS & 
precipitation strengthening 
reduce HEE susceptibility; but no 
significant benefits over current 
materials."
,0.58,0,
"MA6000: 
T 
 
 
L",0.92,0.5,
,0.86,4,
"MA754:  T 
 
 
L",0.94,0.27,
,0.96,0.19,
