0,1,2,3,4,5
"Temp. 
[°C]",,"Ti48A12Cr (IM) 
Near Gamma","Ti48Al2Cr2Nb (PM) 
Primary Annealed 
Near Gamma",,
50,,0.619,0.598,0.609,
100,,0.640,0.631,0.634,
200,,0.669,0.655,0.657,
300,,0.689,0.672,0.673,
400,,0.704,0.688,0.688,
500,,0.719,0.701,0.7,
600,,0.735,0.714,0.713,
700,,0.779,0.766,0.769,
800,,0.803,0.791,0.792,
900,,0.847,0.832,0.829,
1000,,0.901,0.892,0.884,
1100,,0.963,0.958,0.945,
1200,,1.109,1.12,1.072,
"Specific Heat cp [J/g K] 
1.3
1.2
1.1
1
0.9
 
0.8
0.7
0.6
0.5
0.4","Ti48A12Cr (IM) Near Gamma
Ti48Al2Cr2Nb (PM) Primary Annealed
Ti48Al2Cr2Nb (PM) Near Gamma
0
200
400
600
800
1000
1200
Tempera ture [°C]",,,,1400
