0,1,2,3,4,5,6
"Temp 
(C)",Property,,,,,
,CTE (10-6/C),,"Specific Heat 
(J/kg/C)","Thermal 
Conductivity 
(W/m/C)","Thermal 
Diffusivity 
(m2/s)","Tensile Modulus 
(GPa)"
,Differential,Linear,,,,
-200,0.2,5089,293,1500,-,300
-150,1.9,7.32,419,830,-,300
-100,4.5,7.74,1004,480,-,300
-50,7.5,8.98,1298,310,-,300
0,10.0,9.95,1694,240,-,300
RT,10.2,-,2009,200,-,300
100,11.6,-,2135,163,0.15,297
200,12.75,-,2386,141,0.12,291
300,13.6,-,2553,127,0.10,283
400,14.3,-,2679,116,0.09,268
500,14.8,-,2763,107,0.08,242
600,15.25,-,2846,98,0.07,180
700,15.55,-,2930,89,0.06,(80)
800,15.8,-,3014,80,0.05,(40)
