0,1,2,3,4,5,6,7,8,9,10,11,12
5154A,Al Mg3.5(A),N5,A-G3,3.3535,Al Mg3,3574,9005/8,-,L-3392,-,AMG3,AW-5154A
5251,Al Mg2,N4,A-G2 M,3.3525,"Al Mg2 
Mn0.3",-,-,-,L-3361,-,-,AW-5251
5454,Al Mg3.6,N51,A-G2.5M C,3.3537,Al Mg2.7 Mn,7789,9005/3,-,L-3391,AlMg2.7 Mn,-,AW-5454
5554,AlMg3Mn(A),N52,-,-,-,-,-,-,-,-,-,-
5556A,AlMg5.2MnCr,N61,-,-,-,-,-,-,-,-,-,-
5754,[AlMg3],-,A-G3 M,3.3535,Al Mg3,3575,-,4125,L-3390,Al Mg3,-,AW-5754
6060,AlMgSi,-,A-GS,3.3206,Al MgSi0.5,3569,9006/1,4103,L-3442,Al MgSi0.5,-,AW-6060
6061,Al Mg1 Si Cu,H20,A-GS U C,3.3211,Al MgSi1Cu,6170,9006/2,-,L-3420,-,AD3,"AW-6061 
P-6061"
6063,Al Mg0.5 Si,H9,-,-,-,3569,-,4104,L-3441,-,AD31,AW-6063
6082,Al Si1 Mg Mn,H30,A-SG M0.7,3.2315,Al Mg Si1,3571,9006/4,4212,L-3453,"Al Mg Si1 
Mn",,"AW-6082 
P-21, P-6082"
6101A,E-AlMgSi(A),91E,-,-,-,-,9006/3,4102,L-3431,-,-,-
6463,AlMgSi,"E6, BT R6",A-85GS,3.2307,E-AlMgSi,3570,-,4102,-,-,-,-
7010,AlZn6MgCu,"DTD5130A, DTD5120",-,3.4394,-,-,-,-,-,-,-,"AW-7010 
P-7010"
7014,-,DTD5104A,-,-,-,-,-,-,-,-,-,-
7020,Al Zn4.5 Mg,H17,A-Z5 G,3.4335,"Al Zn 
4.5Mg1",7791,9007/1,4425,L-3741,"Al Zn4.5 
Mg1",-,"AW-7020 
P-7020"
7049A,Al Zn8MgCu,-,A-Z8GU,-,-,-,-,-,-,-,-,AW-7049A
7075,Al Zn6 Mg Cu1.5,"2L95, L160, 
L161, L162","A-Z5 G U 
Air-9048",3.4365,"Al Zn Mg 
Cu1.5",3735,9007/2,-,L-3710,"Al Zn6 Mg 
Cu1.5",V95,"AW-7075, 
P-7075, P-42"
8011A,AlFeSi,-,"A-4L, A-FeS",3.0915,-,8011,-,-,L-3611,-,,AW-8011A
"Key:  
(1) Old ISO number; [CEN EN 573] 
 
(2) EN573: AW prefix ‐ engineering alloys.  AL P prefix: AECMA aerospace alloy",,,,,,,,,,,,
