0,1,2,3,4,5
"Alloy and
temper",Form,"Direction (1)
(2)",UTS (MPa),YS (MPa),"Elong.
(%)"
2090-T83,sheet,L,531,483,3
2090-T83,sheet,LT,503,455,5
2090-T83,sheet,45,441,386,-
2098-T82P,sheet,LT,503,476,6
2x98-T82P,sheet,LT,510,470,6
2099-T8E65,extrusion,L,600,550,8
2099-T8E65,extrusion,LT,520,470,-
2099-T8E67,extrusion,L,580,520,9
2099-T8E67,extrusion,LT,510,430,-
2195-T8R78,"plate, 38 - 50mm",L,555,530,9
2195-T8R78,"plate, 38 - 50mm",LT,575,530,8
2195-T8R78,"plate, 38 - 50mm",45,560,505,9
2195-T8R78,"plate, 38 - 50mm",ST,595,500,3.5
2195-T8R78,"plate, 6.4 - 12.7mm",L,615,580,9
2195-T8R78,"plate, 6.4 - 12.7mm",LT,600,556,11
2195-T8R78,"plate, 6.4 - 12.7mm",45,525,490,12
2195-T8,"plate, 11.4mm",L,609,574,8.5
2195-T8,"plate, 11.4mm",45,526,490,12.7
2195-T8,"plate, 11.4mm",55,510,470,14.7
2195-T8,"plate, 11.4mm",60,527,472,14.9
2195-T8,"plate, 11.4mm",65,563,492,14.5
2195-T8,"plate, 11.4mm",70,567,503,9.2
2195-T8,"plate, 11.4mm",LT,589,551,11.2
2196-T8511,"extrusion, 1.2 - 6mm",L,520,470,6
2196-T8511,"extrusion, 6 - 25mm",L,540,490,5
2297-T87,"plate, 50mm",L,441,400,10
2297-T87,"plate, 75mm",L,427,393,9
2297-T87,"plate, 100mm",L,427,393,5
2297-T87,"plate, 125mm",L,421,386,5
2297-T87,"plate, 150mm",L,414,379,5
8090-T652,forging,L,430,350,4
8090-T852,forging,L,480,435,5
8090-T8151,plate,L,420,350,5
8090-T8151,plate,T,420,320,5
8090-T8151,plate,ST,370,265,2.5
8090-T81,sheet,L,420,360,8
8090-T81,sheet,T,415,290,11
1441-T1,sheet,L,415,315,16
1441-T1,sheet,T,430,325,14
1441-T1,sheet,45,405,280,18
1441-T1,extrusion,L,450,360,9
1441-T1,extrusion,T,475,390,9
1441-T11,sheet,L,450,395,9.5
