0,1,2,3,4
Material,"Temp. 
(°C)","UTS 
YS 
(MPa) 
(MPa)","E 
(GPa)","Fatigue strength, 107 
cycles, (MPa)"
"225xe - T4 
(1)",24,"633 
486",116.2,410
,150,"616 
474",110.9,330
,200,"530 
448",108.3,203
,250,"194 
128",106.6,100
"225xe - T1 
(1)",24,"477 
328",115.2,290
,150,"428 
321",111.1,200
,200,"358 
276",109.2,160
,250,"200 
102",107.3,105
"W2F20A-T6 
(2)",24,"369 
286",97.3,280
,150,"345 
267",92.1,195
,200,"314 
236",89.9,150
,250,"228 
213",87.3,110
"F3S20S - 
T6 (3)",24,"331 
282",104.9,180
,150,"264 
225",99.8,110
,200,"230 
201",97.2,95
,250,"150 
122",94.6,70
"Key
(1) AMC225xe (2124 + 25% SiCp extruded bar);  
(2) Duralcan W2F20A ‐ T6 (2618 + 20% Al2O3p extruded bar);  
(3) Duralcan F3S20S ‐ T6 (A359 + 20% SiCp forged disc).",,,,
