0,1,2,3,4,5,6,7
Material,Environment,"Strain 
Range","Aging 
Treatment","Specimen 
ID","Inelastic Strain 
Range at Nh 
(%)","Cycles to Crack 
Initiation 
(Ni)","Cycles to 
Failure 
(N ) 
f"
"LP-DED NASA 
HR–1",Ambient Air,–0.5% to 0.5%,1325 °F,34,0.35,7545,8318
,,,,104,0.34,4794,6600
,,,,105,0.35,4601,5054
,,,1275 °F + 1150 °F,4,0.32,9279,11765
,,,,5,0.36,6957,7581
,,,,68,0.36,8551,10492
,,–1% to 1%,1325 °F,121,1.21,813,899
,,,,122,1.19,764,828
,,,,123,1.17,860,898
,,,1275 °F + 1150 °F,21,1.19,897,981
,,,,22,1.22,827,880
,,,,23,1.23,1121,1298
