0,1,2,3,4,5,6,7,8,9
Material,Environment,Strain Range,"Aging
Treatment","Specimen
ID","Δσ
max
(ksi)","Δσ
half
(ksi)","Δσ
first
(ksi)",HR,SR
"LP-DED NASA
HR–1",Ambient,–0.5% to 0.5%,1325 °F,34,100.0,91.0,91.2,0.096,0.090
,,,,104,101.6,93.4,90.5,0.123,0.081
,,,,105,97.8,90.3,91.8,0.065,0.077
,,,1275 °F + 1150 °F,4,88.6,84.7,78.8,0.124,0.044
,,,,5,89.8,86.5,77.0,0.166,0.037
,,,,68,88.8,84.9,77.7,0.143,0.044
,,–1% to 1%,1325 °F,121,125.2,109.4,99.1,0.263,0.126
,,,,122,126.5,110.3,98.5,0.284,0.128
,,,,123,124.1,110.0,97.9,0.268,0.114
,,,1275 °F + 1150 °F,21,111.5,101.6,84.7,0.316,0.088
,,,,22,114.5,103.2,85.7,0.336,0.098
,,,,23,109.9,99.9,84.1,0.306,0.091
