paper_id,page_num,table_idx,n_rows,n_cols,csv_path,sample_header
20250513--GRX-810_Addtional_NASA_Data,2,1,10,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t1.csv,Element | Nominal
20250513--GRX-810_Addtional_NASA_Data,2,2,2,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t2.csv,Heat Treatment | Temperature | Time | Stress
20250513--GRX-810_Addtional_NASA_Data,2,3,2,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p2_t3.csv,Laser Power (W) | Scan Speed (mm/s) | Layer Thickness (mm)
20250513--GRX-810_Addtional_NASA_Data,3,1,7,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p3_t1.csv,Density (g/cm3) | 8.44
20250513--GRX-810_Addtional_NASA_Data,3,2,7,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p3_t2.csv,Density (g/cm3) | 8.44
20250513--GRX-810_Addtional_NASA_Data,3,3,7,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p3_t3_camelot.csv,Density (g/cm3) | 8.44
20250513--GRX-810_Addtional_NASA_Data,5,1,15,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,"Temperature
(C) | AB Specific Heat
(J/g/K) | AB Thermal Diffusivity
-2
(Cm /s) | AB Thermal Conductivity
(W/m/K)"
20250513--GRX-810_Addtional_NASA_Data,5,7,15,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,"Temperature 
 (C) | AB Specific Heat  
(J/g/K) | AB Thermal Diffusivity 
-2
(Cm
/s) | AB Thermal Conductivity 
(W/m/K)"
20250513--GRX-810_Addtional_NASA_Data,6,1,15,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,"Temperature (C) | HIP Specific Heat
(J/g/K) | HIP Thermal Diffusivity
2
(Cm /s) | HIP Thermal Conductivity
(W/m/K)"
20250513--GRX-810_Addtional_NASA_Data,6,8,15,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,"Temperature (C) | HIP Specific Heat  
(J/g/K) | HIP Thermal Diffusivity 
2
(Cm
/s) | HIP Thermal Conductivity  
(W/m/K)"
20250513--GRX-810_Addtional_NASA_Data,7,1,14,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,"Temperature (C) | -6
HIP CTE (10 m/m/°C) | -6
AB CTE (10 m/m/°C)"
20250513--GRX-810_Addtional_NASA_Data,7,11,14,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,"Temperature (C) | -6
HIP CTE (10
m/m/°C) | -6
AB CTE (10
m/m/°C)"
20250513--GRX-810_Addtional_NASA_Data,8,1,7,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p8_t1.csv,Temp (C) | Modulus (Gpa)
20250513--GRX-810_Addtional_NASA_Data,8,12,7,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p8_t12_camelot.csv,Temp (C) | Modulus (Gpa)
20250513--GRX-810_Addtional_NASA_Data,9,1,9,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p9_t1.csv,"Polishing Step | Grit Size | Lubricant | Time
(min) | Load
(N) | RPM"
20250513--GRX-810_Addtional_NASA_Data,9,13,9,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p9_t13_camelot.csv,"Polishing Step | Grit Size | Lubricant | Time 
(min) | Load 
(N) | RPM"
20250513--GRX-810_Addtional_NASA_Data,11,1,44,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p11_t1.csv,Machine | Test Temperature | None | Avg. 0.2% Yield Strength | None | Avg. Ultimate Tensile Strength | None | Avg. Elongation | Tested Samples
20250513--GRX-810_Addtional_NASA_Data,11,14,41,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p11_t14_camelot.csv,Machine | Test Temperature | <NA> | Avg. 0.2% Yield Strength | <NA> | Avg. Ultimate Tensile Strength | <NA> | Avg. Elongation | Tested Samples
20250513--GRX-810_Addtional_NASA_Data,12,1,44,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p12_t1.csv,Machine | Test Temperature | None | Avg. 0.2% Yield Strength | None | Avg. Ultimate Tensile Strength | None | Avg. Elongation | Tested Samples
20250513--GRX-810_Addtional_NASA_Data,12,15,41,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p12_t15_camelot.csv,Machine | Test Temperature | <NA> | Avg. 0.2% Yield Strength | <NA> | Avg. Ultimate Tensile Strength | <NA> | Avg. Elongation | Tested Samples
20250513--GRX-810_Addtional_NASA_Data,13,1,13,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p13_t1.csv,Machine | Test Temperature | None | Avg. 0.2% Yield Strength | None | Avg. Ultimate Tensile Strength | None | Avg. Elongation | Tested Samples
